"npTitleId","npTitleIdshort","name","region","category","psVr","neoEnable","ps5bc","date"
"CUSA10050_00","CUSA10050","大戦略パーフェクト4.0","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1371558Z"
"CUSA10051_00","CUSA10051","DRAGON BALL XENOVERSE 2 DELUXE EDITION","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1446705Z"
"CUSA10052_00","CUSA10052","TheSexyBrutale","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1521577Z"
"CUSA10053_00","CUSA10053","人中北斗","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1603972Z"
"CUSA10054_00","CUSA10054","PRO EVOLUTION SOCCER 2018 LITE","HP","gd",0,1,"BOOTABLE","2020-10-31T20:07:45.167844Z"
"CUSA10055_00","CUSA10055","북두와 같이","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.1754068Z"
"CUSA10056_00","CUSA10056","CoolPaintr VR","EP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.1837133Z"
"CUSA10058_00","CUSA10058","League of War","EP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.1914208Z"
"CUSA10061_00","CUSA10061","Accounting+","EP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.1977603Z"
"CUSA10062_00","CUSA10062","Donut County","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2054153Z"
"CUSA10063_00","CUSA10063","Mitch: Berry Challenge","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2129584Z"
"CUSA10064_00","CUSA10064","Hopalong: The Badlands","UP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.2209415Z"
"CUSA10065_00","CUSA10065","Kentucky Route Zero: TV Edition","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2294099Z"
"CUSA10066_00","CUSA10066","DOOM VFR","JP","gd",2,1,"BOOTABLE","2020-10-31T20:07:45.2372628Z"
"CUSA10067_00","CUSA10067","Tiles","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2459504Z"
"CUSA10069_00","CUSA10069","Detention","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2538372Z"
"CUSA10070_00","CUSA10070","Carly and the Reaperman","EP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.261666Z"
"CUSA10073_00","CUSA10073","The Path of Motus","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2693822Z"
"CUSA10074_00","CUSA10074","Ride 3","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2774534Z"
"CUSA10075_00","CUSA10075","The Path of Motus","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.2836033Z"
"CUSA10076_00","CUSA10076","EVEREST VR","UP","gdc",2,1,"COMPATIBLE","2020-10-31T20:07:45.2918451Z"
"CUSA10078_00","CUSA10078","Coffee Crisis","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3000499Z"
"CUSA10082_00","CUSA10082","Skorecery","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3082188Z"
"CUSA10083_00","CUSA10083","Unbox: Newbie's Adventure","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3169302Z"
"CUSA10084_00","CUSA10084","Agents of Mayhem","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3254662Z"
"CUSA10085_00","CUSA10085","Monster Energy Supercross - The Official Videogame","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3354172Z"
"CUSA10086_00","CUSA10086","CODE VEIN Trial Edition","JP","gd",0,1,"N/A","2020-10-31T20:07:45.3447182Z"
"CUSA10087_00","CUSA10087","ACA NEOGEO THE KING OF FIGHTERS '97","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3528866Z"
"CUSA10088_00","CUSA10088","Little Triangle","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3606814Z"
"CUSA10089_00","CUSA10089","Tear 終わりとはじまりの雫","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.368387Z"
