"NP Title ID","Title ID","Title","Region","Category","PS VR","PS4 Pro Enhanced","PS5 backward compatible","Date"
"CUSA03022_00","CUSA03022","Weapons of Mythology ～NEW AGE～","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.7544125Z"
"CUSA03023_00","CUSA03023","Bloodborne™ The Old Hunters Edition","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.7586298Z"
"CUSA03024_00","CUSA03024","Battleborn Closed Technical Test","EP","gd",0,0,"N/A","2020-11-01T14:26:15.7636751Z"
"CUSA03025_00","CUSA03025","Northwoods","EP","gd",0,0,"N/A","2020-11-01T14:26:15.7678045Z"
"CUSA03026_00","CUSA03026","Dying Light Demo","UP","gd",0,0,"N/A","2020-11-01T14:26:15.7728647Z"
"CUSA03027_00","CUSA03027","ＪＯＪＯ的奇妙冒險　天國之眼","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.7770133Z"
"CUSA03029_00","CUSA03029","Los 40 Principales: Karaoke Party Vol.2","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.7822807Z"
"CUSA03030_00","CUSA03030","SublevelZero","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.7864231Z"
"CUSA03031_00","CUSA03031","Tearaway™ Unfolded Soundtrack","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.7916243Z"
"CUSA03032_00","CUSA03032","Tearaway™ Unfolded Soundtrack","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.7957229Z"
"CUSA03033_00","CUSA03033","シチズンズ　オブ　アース","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8009168Z"
"CUSA03034_00","CUSA03034","JumpJet Rex","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8050956Z"
"CUSA03036_00","CUSA03036","J-Stars Digital Compendium","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8102278Z"
"CUSA03037_00","CUSA03037","オクトダッド -タコと呼ばないで-","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8143536Z"
"CUSA03038_00","CUSA03038","신차원게임 넵튠 VII","KP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8194325Z"
"CUSA03040_00","CUSA03040","Yearbook Ghosts BETA","EP","gd",0,0,"N/A","2020-11-01T14:26:15.8245874Z"
"CUSA03041_00","CUSA03041","Red Dead Redemption 2","UP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.8286575Z"
"CUSA03042_00","CUSA03042","Caissa's Chess Demo One","UP","gd",0,0,"N/A","2020-11-01T14:26:15.833907Z"
"CUSA03043_00","CUSA03043","WORLD OF FINAL FANTASY","JP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.8380417Z"
"CUSA03045_00","CUSA03045","Battle Islands","HP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.843212Z"
"CUSA03046_00","CUSA03046","Mighty No. 9","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.847357Z"
"CUSA03047_00","CUSA03047","I am Bread","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8528235Z"
"CUSA03048_00","CUSA03048","The Vanishing of Ethan Carter","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8580982Z"
"CUSA03050_00","CUSA03050","Tower of Guns: Special Edition","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8632459Z"
"CUSA03051_00","CUSA03051","Guns, Gore and Cannoli","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8677033Z"
"CUSA03052_00","CUSA03052","Mighty No. 9","HP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8733731Z"
"CUSA03053_00","CUSA03053","Total Jigsaw","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8777199Z"
"CUSA03054_00","CUSA03054","Tower of Guns: Special Edition","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.883228Z"
"CUSA03055_00","CUSA03055","Kung Fury: Street Rage","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8875474Z"
"CUSA03056_00","CUSA03056","SCREENCHEAT","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8927722Z"
"CUSA03057_00","CUSA03057","Trine 3: The Artifacts of Power","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.8970856Z"
"CUSA03058_00","CUSA03058","Tom Clancy's The Division™ Beta","EP","gd",0,0,"N/A","2020-11-01T14:26:15.9025311Z"
"CUSA03059_00","CUSA03059","Tearaway™ Unfolded (Demo)","EP","gd",0,0,"N/A","2020-11-01T14:26:15.9069782Z"
"CUSA03060_00","CUSA03060","Tearaway™ Unfolded (Preview)","EP","gd",0,0,"N/A","2020-11-01T14:26:15.9122667Z"
"CUSA03061_00","CUSA03061","YLE Areena","EP","gde",0,0,"COMPATIBLE","2020-11-01T14:26:15.9168073Z"
"CUSA03062_00","CUSA03062","Siralim","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.9224958Z"
"CUSA03064_00","CUSA03064","ボーダーランズ ダブルデラックス コレクション","JP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.9269719Z"
"CUSA03065_00","CUSA03065","SkyScrappers","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.932193Z"
"CUSA03066_00","CUSA03066","Dying Light Demo","EP","gd",0,0,"N/A","2020-11-01T14:26:15.9370369Z"
"CUSA03067_00","CUSA03067","Agents of Mayhem","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.9423629Z"
"CUSA03068_00","CUSA03068","Mantis Burn Racing","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.9466589Z"
"CUSA03069_00","CUSA03069","Tearaway™ Unfolded (Demo)","HP","gd",0,0,"N/A","2020-11-01T14:26:15.9520673Z"
"CUSA03070_00","CUSA03070","Tearaway™ Unfolded (Demo)","HP","gd",0,0,"N/A","2020-11-01T14:26:15.9564286Z"
"CUSA03071_00","CUSA03071","Tearaway™ Unfolded (Preview)","HP","gd",0,0,"N/A","2020-11-01T14:26:15.9614739Z"
"CUSA03072_00","CUSA03072","Tearaway™ Unfolded (Preview)","HP","gd",0,0,"N/A","2020-11-01T14:26:15.9663428Z"
"CUSA03074_00","CUSA03074","Tom Clancy's The Division™","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.971853Z"
"CUSA03075_00","CUSA03075","Ascendant","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.9761657Z"
"CUSA03076_00","CUSA03076","Tearaway® PlayStation®4　体験版","JP","gd",0,0,"N/A","2020-11-01T14:26:15.9817027Z"
"CUSA03077_00","CUSA03077","Dynamite Fishing World Games","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.9860819Z"
"CUSA03078_00","CUSA03078","Victor Vran","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:15.9917185Z"
"CUSA03079_00","CUSA03079","Life Goes On: Done to Death","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:15.9959749Z"
"CUSA03080_00","CUSA03080","SCREENCHEAT","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0049056Z"
"CUSA03081_00","CUSA03081","Dynamite Fishing World Games","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0109701Z"
"CUSA03082_00","CUSA03082","Trine 3: The Artifacts of Power","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0187664Z"
"CUSA03083_00","CUSA03083","I am Bread","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0251269Z"
"CUSA03084_00","CUSA03084","Trackmania Turbo","JP","gd",1,1,"COMPATIBLE","2020-11-01T14:26:16.0311921Z"
"CUSA03085_00","CUSA03085","Dragon Quest Heroes: The World Tree's Woe and the Blight Below DEMO","EP","gd",0,0,"N/A","2020-11-01T14:26:16.0365644Z"
"CUSA03086_00","CUSA03086","UMBRELLA CORPS","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0414462Z"
"CUSA03088_00","CUSA03088","Divide","UP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:16.0475571Z"
"CUSA03090_00","CUSA03090","Hatoful Boyfriend: Holiday Star","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0524587Z"
"CUSA03091_00","CUSA03091","Manifold Garden","UP","gd",0,1,"COMPATIBLE","2020-11-01T14:26:16.0586253Z"
"CUSA03094_00","CUSA03094","Kromaia Ω","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0628035Z"
"CUSA03095_00","CUSA03095","Gunscape","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0687175Z"
"CUSA03096_00","CUSA03096","Hatoful Boyfriend: Holiday Star","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0736748Z"
"CUSA03097_00","CUSA03097","Guitar Hero Live Kiosk Demo","UP","gd",0,0,"N/A","2020-11-01T14:26:16.0788103Z"
"CUSA03098_00","CUSA03098","BIOHAZARD UMBRELLA CORPS","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.083655Z"
"CUSA03099_00","CUSA03099","Prime Video","JA","gdk",0,0,"NOT_COMPATIBLE","2020-11-01T14:26:16.0891272Z"
"CUSA03100_00","CUSA03100","ぎゃるガンヴォルト","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0934337Z"
"CUSA03105_00","CUSA03105","GOD EATER RESURRECTION","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.0989594Z"
"CUSA03106_00","CUSA03106","Curses 'N Chaos","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.1033017Z"
"CUSA03107_00","CUSA03107","Sky Ticket","EP","gde",0,0,"COMPATIBLE","2020-11-01T14:26:16.1091203Z"
"CUSA03108_00","CUSA03108","TEMBO","UP","gd",0,0,"N/A","2020-11-01T14:26:16.1135206Z"
"CUSA03109_00","CUSA03109","UMBRELLA CORPS","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:26:16.1190496Z"
